County,Proportion
Mombasa,55.6
Kwale,62.9
Kilifi,66
Tana River,53.8
Lamu,54.4
Taita Taveta,82.7
Garissa,10.8
Wajir,27.9
Mandera,9.7
Marsabit,17.1
Isiolo,37.7
Meru,25.9
Tharaka Nithi,43.9
Embu,35.9
Kitui,23.6
Machakos,48.5
Makueni,35.9
Nyandarua,7.1
Nyeri,14.8
Kirinyaga,57.8
Muranga,30.5
Kiambu,22.9
Turkana,31.5
West Pokot,60.9
Samburu,12
Trans Nzoia,82.6
Uasin Gishu,73.8
Elgeyo Marakwet,15.3
Nandi,81.2
Baringo,48.5
Laikipia,19.7
Nakuru,21.2
Narok,69
Kajiado,31.9
Kericho,79.6
Bomet,88.7
Kakamega,79.8
Vihiga,86
Bungoma,82.5
Busia,81
Siaya,72.3
Kisumu,61.5
Homa Bay,74
Migori,72.9
Kisii,79.2
Nyamira,88.2
Nairobi,19.3
