County,Gender,variable,value
Mombasa,Female,Have heard of female circumcision,96.6
Kwale,Female,Have heard of female circumcision,84.7
Kilifi,Female,Have heard of female circumcision,83.3
Tana River,Female,Have heard of female circumcision,93
Lamu,Female,Have heard of female circumcision,91.9
Taita Taveta,Female,Have heard of female circumcision,97.3
Garissa,Female,Have heard of female circumcision,98.8
Wajir,Female,Have heard of female circumcision,100
Mandera,Female,Have heard of female circumcision,98.6
Marsabit,Female,Have heard of female circumcision,97.1
Isiolo,Female,Have heard of female circumcision,97.4
Meru,Female,Have heard of female circumcision,99.7
Tharaka Nithi,Female,Have heard of female circumcision,98
Embu,Female,Have heard of female circumcision,98.5
Kitui,Female,Have heard of female circumcision,94.8
Machakos,Female,Have heard of female circumcision,98.2
Makueni,Female,Have heard of female circumcision,97.4
Nyandarua,Female,Have heard of female circumcision,98.8
Nyeri,Female,Have heard of female circumcision,97
Kirinyaga,Female,Have heard of female circumcision,98.1
Muranga,Female,Have heard of female circumcision,99.7
Kiambu,Female,Have heard of female circumcision,97.9
Turkana,Female,Have heard of female circumcision,84.4
West Pokot,Female,Have heard of female circumcision,99.4
Samburu,Female,Have heard of female circumcision,99.8
Trans Nzoia,Female,Have heard of female circumcision,98.2
Uasin Gishu,Female,Have heard of female circumcision,96.6
Elgeyo Marakwet,Female,Have heard of female circumcision,98.1
Nandi,Female,Have heard of female circumcision,94.1
Baringo,Female,Have heard of female circumcision,99
Laikipia,Female,Have heard of female circumcision,96.4
Nakuru,Female,Have heard of female circumcision,98.7
Narok,Female,Have heard of female circumcision,99.4
Kajiado,Female,Have heard of female circumcision,98.2
Kericho,Female,Have heard of female circumcision,98.4
Bomet,Female,Have heard of female circumcision,99.4
Kakamega,Female,Have heard of female circumcision,95.3
Vihiga,Female,Have heard of female circumcision,97
Bungoma,Female,Have heard of female circumcision,96.2
Busia,Female,Have heard of female circumcision,98
Siaya,Female,Have heard of female circumcision,95.4
Kisumu,Female,Have heard of female circumcision,98.6
Homa Bay,Female,Have heard of female circumcision,98.5
Migori,Female,Have heard of female circumcision,94.5
Kisii,Female,Have heard of female circumcision,100
Nyamira,Female,Have heard of female circumcision,98.9
Nairobi,Female,Have heard of female circumcision,97.9
Mombasa,Male,Have heard of female circumcision,97.1
Kwale,Male,Have heard of female circumcision,91.5
Kilifi,Male,Have heard of female circumcision,95.7
Tana River,Male,Have heard of female circumcision,94.8
Lamu,Male,Have heard of female circumcision,93.3
Taita Taveta,Male,Have heard of female circumcision,93.8
Garissa,Male,Have heard of female circumcision,96
Wajir,Male,Have heard of female circumcision,100
Mandera,Male,Have heard of female circumcision,97.2
Marsabit,Male,Have heard of female circumcision,99.3
Isiolo,Male,Have heard of female circumcision,100
Meru,Male,Have heard of female circumcision,100
Tharaka Nithi,Male,Have heard of female circumcision,100
Embu,Male,Have heard of female circumcision,100
Kitui,Male,Have heard of female circumcision,97.9
Machakos,Male,Have heard of female circumcision,100
Makueni,Male,Have heard of female circumcision,97.2
Nyandarua,Male,Have heard of female circumcision,99.4
Nyeri,Male,Have heard of female circumcision,98.6
Kirinyaga,Male,Have heard of female circumcision,99.1
Muranga,Male,Have heard of female circumcision,98.5
Kiambu,Male,Have heard of female circumcision,99.3
Turkana,Male,Have heard of female circumcision,85.3
West Pokot,Male,Have heard of female circumcision,98.9
Samburu,Male,Have heard of female circumcision,100
Trans Nzoia,Male,Have heard of female circumcision,99
Uasin Gishu,Male,Have heard of female circumcision,99.1
Elgeyo Marakwet,Male,Have heard of female circumcision,98.9
Nandi,Male,Have heard of female circumcision,98.9
Baringo,Male,Have heard of female circumcision,97.9
Laikipia,Male,Have heard of female circumcision,97.2
Nakuru,Male,Have heard of female circumcision,98.9
Narok,Male,Have heard of female circumcision,99.3
Kajiado,Male,Have heard of female circumcision,99.3
Kericho,Male,Have heard of female circumcision,100
Bomet,Male,Have heard of female circumcision,98.3
Kakamega,Male,Have heard of female circumcision,88.8
Vihiga,Male,Have heard of female circumcision,92.9
Bungoma,Male,Have heard of female circumcision,92.7
Busia,Male,Have heard of female circumcision,99.3
Siaya,Male,Have heard of female circumcision,93.8
Kisumu,Male,Have heard of female circumcision,99.5
Homa Bay,Male,Have heard of female circumcision,96.1
Migori,Male,Have heard of female circumcision,99.4
Kisii,Male,Have heard of female circumcision,99.3
Nyamira,Male,Have heard of female circumcision,98.5
Nairobi,Male,Have heard of female circumcision,95.6
